#,Categoria,Punto de verificación,Descripción,Proceso de verificación,Ejemplo correcto 1,Ejemplo correcto 2,Ejemplo correcto 3,Ejemplo correcto 4,Ejemplo correcto 5,Ejemplo incorrecto 1,Ejemplo incorrecto 2,Ejemplo incorrecto 3,Ejemplo incorrecto 4,Ejemplo incorrecto 5
1.1,Lenguaje inclusivo de género,Evitar masculino genérico,No usar masculino como universal,Buscar sustantivos masculinos plurales,Las personas interesadas,Quienes participen,Personal médico,La plantilla,Profesionales del sector,Los interesados (excluye mujeres),Los médicos (invisibiliza doctoras),Los usuarios (asume masculino),Todos los empleados (genérico masculino),Los clientes satisfechos (excluye clientas)
1.2,Lenguaje inclusivo de género,Usar sustantivos colectivos,Emplear términos neutros colectivos,Identificar oportunidades para colectivos,La ciudadanía,El alumnado,La clientela,El profesorado,Las amistades,Los ciudadanos (mejor ciudadanía),Los alumnos (mejor alumnado),Los profesores (mejor profesorado),Los jueces (mejor magistratura),Los amigos (mejor las amistades)
1.3,Lenguaje inclusivo de género,Desdoblamientos estratégicos,Mencionar ambos géneros cuando sea necesario,"Usar con moderación, solo una vez",Estimadas y estimados colegas,Las y los participantes,Doctoras y doctores,Alumnas y alumnos,Trabajadoras y trabajadores,Desdoblar TODO el texto (pesado),Los/as empleados/as (dificulta lectura),Repetir desdoblamientos constantemente,Niños y niñas y adolescentes y adolescentas (excesivo),Usar siempre masculino primero
1.4,Lenguaje inclusivo de género,Alternar orden de géneros,Variar qué género se menciona primero,Revisar orden en desdoblamientos,Las alumnas y los alumnos,Doctores y doctoras,Madres y padres,Profesoras y profesores,Niños y niñas,Siempre hombres y mujeres,Siempre masculino primero,Orden fijo sin variación,Padres y madres sistemáticamente,No alternar nunca
1.5,Lenguaje inclusivo de género,Evitar barras y arrobas,"No usar @, /, x, e",Buscar estos símbolos problemáticos,Todas las personas,Equipo completo,Personal disponible,Cada participante,Profesionales,Todos/as (barra problemática),Tod@s (impronunciable),Todxs (no accesible),Todes (confuso),Amig@s (lector pantalla falla)
2.1,Personas con discapacidad,Terminología correcta discapacidad,Usar persona con discapacidad,Verificar términos sobre discapacidad,Persona con discapacidad visual,Profesional con movilidad reducida,Estudiante con autismo,Atleta con discapacidad,Persona usuaria de silla de ruedas,Minusválido (obsoleto y ofensivo),Inválido (despectivo),Discapacitado (define por condición),Deficiente (peyorativo),Impedido (negativo)
2.2,Personas con discapacidad,No victimizar discapacidad,"Evitar verbos como sufrir, padecer",Buscar lenguaje victimizante,Tiene una discapacidad,Vive con autismo,Usa silla de ruedas,Es una persona ciega,Presenta una condición,Sufre de ceguera (victimiza),Padece sordera (dramatiza),Está confinado a silla de ruedas (negativo),Es víctima de parálisis (victimiza),Afligido por su condición (dramático)
2.3,Personas con discapacidad,Persona primero que condición,Mencionar persona antes que condición,Verificar orden de palabras,Niño con síndrome de Down,Mujer con discapacidad auditiva,Joven con parálisis cerebral,Adulto con TEA,Persona con esquizofrenia,El Down (cosifica),La ciega (reduce a condición),El autista (etiqueta),Los sordos (generaliza),El esquizofrénico (estigmatiza)
2.4,Personas con discapacidad,Evitar superación excesiva,No presentar como héroes por tareas cotidianas,Revisar tono paternalista,Completó sus estudios universitarios,Trabaja como ingeniera,Practica natación,Dirige una empresa,Tiene una familia,"A pesar de su discapacidad, trabaja (condescendiente)",Ejemplo de superación por caminar (paternalista),Héroe por vivir independiente (exagera),Inspirador por tener pareja (infantiliza),Valiente por salir de casa (minimiza)
3.1,Diversidad cultural y racial,Eliminar expresiones racistas,No usar modismos discriminatorios,Buscar frases con connotaciones raciales,Trabajar intensamente,Situación complicada,Día difícil,Tarea compleja,Mal ejecutado,Trabajar como negro (racista),Hacer el indio (estereotipo),Trabajo de chinos (xenófobo),Merienda de negros (despectivo),Engañar como a un chino (racista)
3.2,Diversidad cultural y racial,Evitar asociaciones negativas colores,No asociar negro/oscuro con malo,Revisar metáforas de color,Situación difícil,Perspectiva pesimista,Mercado no regulado,Economía informal,Fondos no declarados,Día negro (asocia negro=malo),Tener la negra (negativo),Mercado negro (cuando hay alternativa),Lista negra (mejor lista de exclusión),Oveja negra (estigmatiza)
3.3,Diversidad cultural y racial,Nacionalidades con respeto,Usar términos correctos para grupos étnicos,Verificar denominaciones actualizadas,Persona gitana,Comunidad romaní,Persona de origen chino,Ciudadano marroquí,Persona migrante,Gitano como insulto,Moro (despectivo),Sudaca (ofensivo),Panchito (racista),Chino para cualquier asiático
4.1,Tipografia y formato accesible,Usar comillas tipográficas,"Comillas curvas, no rectas",Verificar tipo de comillas,"Texto entrecomillado""""",'Comilla simple',"Cita correcta""""",«Comillas latinas»,"Diálogo correcto""""","""Comillas rectas"" (tipográficamente incorrectas)",'Comillas verticales' (de máquina escribir),"\""Dobles rectas"" (amateur)",\'Simples rectas\' (no profesional),"""Mezclar tipos"" (inconsistente)"
4.2,Tipografia y formato accesible,Guiones correctos,"Usar rayas para diálogos, guiones para rangos",Verificar tipos de guiones,Del 3–5 de mayo (guión medio),—Hola —dijo María (raya),Relación causa–efecto,Páginas 23–45,Madrid–Barcelona,Del 3-5 (guión corto incorrecto),--Doble guión-- (no es raya),Causa - efecto (espacios incorrectos),-Diálogo con guión (debe ser raya),3 - 5 mayo (formato incorrecto)
4.3,Tipografia y formato accesible,Un espacio entre frases,Solo un espacio después de punto,Buscar dobles espacios,Primera frase. Segunda frase.,Texto correcto. Continúa aquí.,Final. Inicio nuevo.,Punto. Espacio simple.,Correcto. Así debe ser.,Doble. Espacio. (error tipográfico),Mal. Formateado. (espaciado incorrecto),Incorrecto. Siempre. (hábito antiguo),No. Hacer. Esto. (múltiples errores),Evitar. Dobles. (no profesional)
4.4,Tipografia y formato accesible,Cursivas para énfasis,"Usar cursivas, no negritas ni mayúsculas",Verificar métodos de énfasis,*Realmente* importante,Libro *El Quijote*,Término *nuevo*,*Muy* relevante,Concepto *clave*,MUY importante (grita),**muy** importante (negrita innecesaria),ÉNFASIS (mayúsculas molestas),¡¡importante!! (excesivo),_subrayado_ (confunde con link)
5.1,Enlaces y navegación,Enlaces descriptivos,El texto del enlace describe destino,Revisar todos los enlaces,Descarga el [formulario de inscripción],Lee nuestra [política de privacidad],Visita la [página de contacto],[Solicita una demo] del producto,Consulta los [términos y condiciones],Haz clic [aquí] (no descriptivo),Más información [aquí] (vago),[Enlace] al documento (genérico),Descarga [esto] (ambiguo),Ver más [+] (no informativo)
5.2,Enlaces y navegación,Evitar clic aquí,No usar instrucciones de clic genéricas,"Buscar clic aquí, pincha aquí",[Descarga el manual],[Regístrate en el evento],[Ver calendario completo],[Solicitar información],[Comenzar prueba gratuita],Clic aquí para descargar,Pincha aquí,Pulsa este enlace,Haz clic en este botón,Presiona aquí
5.3,Enlaces y navegación,Enlaces en mismo contexto,Agrupar enlaces relacionados,Verificar distribución de enlaces,Recursos: [Manual] [Guía] [FAQ],Documentos disponibles: [PDF] [Word],Más sobre: [Historia] [Misión] [Valores],Formatos: [MP3] [WAV] [FLAC],Idiomas: [ES] [EN] [FR],Enlaces dispersos por todo el texto,"Ver [aquí], [aquí] y [aquí]",Enlaces interrumpiendo párrafos,Demasiados enlaces juntos,Enlaces sin contexto
